"Count","Date","Avg Price","Volume","Buy","Sell","???","Volume ($)","Buy ($)","Sell ($)","??? ($)","Buy (%)","Sell (%)","??? (%)","Dollar-Buy (%)","Dollar-Sell (%)","Dollar-??? (%)"
1,12/02/2019,0.00016667,60000,0,0,60000,10.0000,0,0,10.0000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
2,12/03/2019,0E-8,33354,0,0,33354,0.00,0,0,0.00,0.00000,0.00000,1.00000,0,0,0
3,12/04/2019,0.00003162,316300,0,0,316300,10.0000,0,0,10.0000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
4,12/05/2019,0.00008841,1169275,0,0,1169275,103.3700,0,0,103.3700,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
5,12/06/2019,0.00006678,30100,0,0,30100,2.0100,0,0,2.0100,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
6,12/09/2019,0.00009035,114000,0,0,114000,10.3000,0,0,10.3000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
7,12/10/2019,0.00009925,1328000,0,0,1328000,131.8000,0,0,131.8000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
8,12/11/2019,0.00005210,19195,0,0,19195,1.0000,0,0,1.0000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
