"Count","Date","Avg Price","Volume","Buy","Sell","???","Volume ($)","Buy ($)","Sell ($)","??? ($)","Buy (%)","Sell (%)","??? (%)","Dollar-Buy (%)","Dollar-Sell (%)","Dollar-??? (%)"
1,02/03/2020,0.00010000,102004636,102004636,0,0,10200.4636,10200.4636,0,0,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
2,02/04/2020,0.00010000,317894503,0,93950000,223944503,31789.4503,0,9395.0000,22394.4503,0.00000,0.29554,0.70446,0.00000,0.29554,0.70446
3,02/05/2020,0.00010082,607430755,5000000,115351264,487079491,61243.0755,1000.0000,11535.1264,48707.9491,0.00823,0.18990,0.80187,0.01633,0.18835,0.79532
4,02/06/2020,0.00010000,75625016,0,0,75625016,7562.5016,0,0,7562.5016,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
